1000,505033
2000,763013
3000,952094
4000,957212
5000,1040299
6000,1062362
7000,1127841
8000,1131704
9000,1155988
10000,1177878
11000,1223528
12000,1264014
13000,1255812
14000,1276865
15000,1343601
16000,1294843
17000,1374670
18000,1331992
19000,1397326
20000,1373636
21000,1368282
22000,1410372
23000,1449541
24000,1397336
25000,1425885
26000,1504951
27000,1597060
28000,1561142
29000,1502809
30000,1519309
31000,1506096
32000,1541857
33000,1626828
34000,1526746
35000,1568567
36000,1558173
37000,1567991
38000,1575212
39000,1537127
40000,1539796
41000,1552194
42000,1553245
43000,1581676
44000,1583139
45000,1545435
46000,1576504
47000,1551996
48000,1595289
49000,1615736
50000,1607852
51000,1597508
52000,1637958
53000,1618898
54000,1619956
55000,1684795
56000,1641801
57000,1637943
58000,1700202
59000,1632349
60000,1674166
61000,1673726
62000,1672605
63000,1659008
64000,1685058
65000,1703851
66000,1659817
67000,1716057
68000,1700694
69000,1660652
70000,1785394
71000,1720182
72000,1726449
73000,1728165
74000,1725263
75000,1726169
76000,1717732
77000,1733570
78000,1729708
79000,1717171
80000,1728287
81000,1765402
82000,1772419
83000,1773428
84000,1737350
85000,1736896
86000,1776520
87000,1807885
88000,1757971
89000,1728242
90000,1773946
91000,1790992
92000,1805997
93000,1758247
94000,1789495
95000,1750258
96000,1791769
97000,1802581
98000,1791901
99000,1805725
100000,1827744
101000,1823866
102000,1823448
103000,1815777
104000,1815593
105000,1818932
106000,1772407
107000,1823500
108000,1809520
109000,1822082
110000,1824036
111000,1835716
112000,1852327
113000,1834651
114000,1838191
115000,1855538
116000,1850792
117000,1785960
118000,1837943
119000,1841677
120000,1831956
121000,1868837
122000,1857335
123000,1873342
124000,1849416
125000,1840688
126000,1881715
127000,1889861
128000,1855189
129000,1864643
130000,1862530
131000,1817674
132000,1835758
133000,1876515
134000,1877852
135000,1919014
136000,1907367
137000,1834355
138000,1918476
139000,1892503
140000,1899867
141000,1879389
142000,1907671
143000,1888150
144000,1894163
145000,1916434
146000,1884629
147000,1901740
148000,1894989
149000,1920092
150000,1916300
151000,1896187
152000,1890324
153000,1896636
154000,1986671
155000,1919675
156000,1903266
157000,1933534
158000,1928518
159000,1932491
160000,1909955
161000,1973556
162000,1885118
163000,1955398
164000,1934865
165000,1926438
166000,1927851
167000,1904551
168000,2032235
169000,1914967
170000,1946653
171000,1933558
172000,1914965
173000,1914937
174000,1946234
175000,1970200
176000,1977116
177000,1945088
178000,1936874
179000,1976695
180000,1940592
181000,1947581
182000,1950327
183000,1946829
184000,1956779
185000,1984534
186000,1957651
187000,1946061
188000,1939783
189000,1945568
190000,1959232
191000,1971874
192000,1948099
193000,2148937
194000,2014621
195000,1979452
196000,1976809
197000,1988386
198000,1976003
199000,1996311
200000,1985482
201000,2018181
202000,1967511
203000,2000770
204000,1996048
205000,2003250
206000,1980326
207000,2001346
208000,1968094
209000,1983282
210000,1994429
211000,1995923
212000,2004479
213000,2020229
214000,1999711
215000,1992493
216000,1998403
217000,2000667
218000,2008527
219000,2071167
220000,2013567
221000,1999764
222000,2025244
223000,2138036
224000,2056133
225000,2030812
226000,2030295
227000,2007215
228000,1998277
229000,2013895
230000,2024161
231000,2280204
232000,2043080
233000,2100865
234000,2023397
235000,2079213
236000,2037172
237000,2028815
238000,2198927
239000,2124238
240000,2003359
241000,2023070
242000,2046601
243000,2041639
244000,2030435
245000,2042913
246000,2047045
247000,2019335
248000,2017607
249000,2059311
250000,2091425
251000,2040462
252000,2026886
253000,2071773
254000,2037885
255000,2062923
256000,2057760
257000,2032451
258000,2052630
259000,2069925
260000,2070088
261000,2061613
262000,2032946
263000,2043010
264000,2060632
265000,2097016
266000,2081476
267000,2096561
268000,2055843
269000,2030420
270000,2066932
271000,2077144
272000,2077734
273000,2052872
274000,2074736
275000,2078584
276000,2060898
277000,2044565
278000,2055845
279000,2054411
280000,2057553
281000,2098736
282000,2069904
283000,2076100
284000,2064616
285000,2163467
286000,2132806
287000,2065788
288000,2099648
289000,2157395
290000,2090473
291000,2075151
292000,2071869
293000,2082786
294000,2082175
295000,2086969
296000,2100037
297000,2155652
298000,2125097
299000,2086090
300000,2082651
301000,2124450
302000,2196438
303000,2163733
304000,2111943
305000,2119169
306000,2266384
307000,2262664
308000,2216931
309000,2220083
310000,2230827
311000,2202256
312000,2153733
313000,2096564
314000,2164808
315000,2097386
316000,2121059
317000,2119584
318000,2157804
319000,2136455
320000,2129720
321000,2120712
322000,2181542
323000,2140710
324000,2113235
325000,2136326
326000,2163070
327000,2099062
328000,2079578
329000,2123866
330000,2105199
331000,2136524
332000,2129668
333000,2145621
334000,2106257
335000,2114867
336000,2109408
337000,2112254
338000,2199345
339000,2137326
340000,2129549
341000,2178186
342000,2130273
343000,2130440
344000,2142128
345000,2131376
346000,2119355
347000,2104891
348000,2138412
349000,2135364
350000,2149158
351000,2214704
352000,2199003
353000,2137688
354000,2206475
355000,2130829
356000,2163259
357000,2131027
358000,2125956
359000,2206492
360000,2136838
361000,2146368
362000,2150831
363000,2128889
364000,2179231
365000,2498608
366000,2139337
367000,2167401
368000,2144905
369000,2182012
370000,2114736
371000,2126796
372000,2967073
373000,2608661
374000,2134398
375000,2172347
376000,2181275
377000,2181772
378000,2221814
379000,2170424
380000,2170753
381000,2202448
382000,2377716
383000,2170767
384000,2176156
385000,2169954
386000,2133791
387000,2191970
388000,2166932
389000,2128922
390000,2130738
391000,2144813
392000,2177595
393000,2138457
394000,2163619
395000,2263826
396000,2197115
397000,2153754
398000,2168776
399000,2177221
400000,2455127
401000,2178713
402000,2273346
403000,2163061
404000,2382855
405000,2409893
406000,2354354
407000,2317937
408000,2426175
409000,3377041
410000,2284290
411000,2218096
412000,2197939
413000,2252274
414000,2376023
415000,2247474
416000,2242609
417000,2279324
418000,2208457
419000,3155823
420000,2151245
421000,2165063
422000,2192689
423000,2208133
424000,2165791
425000,2165248
426000,2659608
427000,2182644
428000,2167450
429000,2202402
430000,2174181
431000,2212899
432000,2209755
433000,2234157
434000,2209260
435000,2197107
436000,2207205
437000,2190688
438000,2208333
439000,2175281
440000,2177230
441000,2166034
442000,2226551
443000,2190840
444000,2195148
445000,2224257
446000,2186221
447000,2192910
448000,2216026
449000,2176644
450000,2214649
451000,2179031
452000,2221636
453000,2198424
454000,2175372
455000,2201191
456000,2245529
457000,2211205
458000,2182375
459000,2184915
460000,2188273
461000,2193182
462000,2207577
463000,2173852
464000,2207237
465000,2195821
466000,2186690
467000,2182404
468000,2194987
469000,2279026
470000,2213459
471000,2213293
472000,2180155
473000,2212860
474000,2173067
475000,2181964
476000,2213562
477000,2215074
478000,2226963
479000,2234682
480000,2178918
481000,2212239
482000,2247350
483000,2221963
484000,2202902
485000,2193383
486000,2257167
487000,2203013
488000,2238424
489000,2249574
490000,2218914
491000,2213845
492000,2186909
493000,2215891
494000,2243762
495000,2261729
496000,2215948
497000,2214271
498000,2211651
499000,2248900
500000,2263521
501000,2214911
502000,2199356
503000,2198172
504000,2211250
505000,2240597
506000,2220175
507000,2213928
508000,2204713
509000,2222019
510000,2208034
511000,2267626
512000,2211083
513000,2267171
514000,2228033
515000,2213519
516000,2221298
517000,2266683
518000,2238633
519000,2213213
520000,2240829
521000,2226856
522000,2208837
523000,2275664
524000,2214080
525000,2220089
526000,2209721
527000,2198861
528000,2236942
529000,2232066
530000,2264319
531000,2270715
532000,2206918
533000,2242048
534000,2296899
535000,2237077
536000,2255159
537000,2230375
538000,2219045
539000,2236359
540000,2233380
541000,2223796
542000,2283110
543000,2225320
544000,2248694
545000,2215025
546000,2303369
547000,2287973
548000,2251675
549000,2216412
550000,2261519
551000,2245319
552000,2250925
553000,2220422
554000,2295609
555000,2228892
556000,2222876
557000,2246999
558000,2301304
559000,2247471
560000,2246674
561000,2226379
562000,2232628
563000,2288557
564000,2265749
565000,2251308
566000,2242858
567000,2265556
568000,2246253
569000,2243217
570000,2206711
571000,2393247
572000,2284734
573000,2284748
574000,2271541
575000,2251119
576000,2278835
577000,2229189
578000,2235685
579000,2243369
580000,2241100
581000,2302930
582000,2280601
583000,2251858
584000,2255262
585000,2251430
586000,2295484
587000,2263415
588000,2331843
589000,2254087
590000,2682474
591000,2297483
592000,2269706
593000,2279933
594000,2312348
595000,2243990
596000,2234128
597000,2325278
598000,2284369
599000,2289186
600000,2257908
601000,2266619
602000,2257464
603000,2275076
604000,2255689
605000,2289544
606000,2257807
607000,2301006
608000,2275849
609000,2283561
610000,2262868
611000,2278965
612000,2281926
613000,2253369
614000,2267169
615000,2274780
616000,2255634
617000,2259642
618000,2313614
619000,2281565
620000,2254687
621000,2255842
622000,2260624
623000,2322182
624000,2285380
625000,2324529
626000,2290151
627000,2284630
628000,2324006
629000,2251521
630000,2249763
631000,2406867
632000,2262713
633000,2296670
634000,2259160
635000,2307242
636000,2304413
637000,2285741
638000,2298418
639000,2292512
640000,2271375
641000,2260992
642000,2275380
643000,2283886
644000,2312837
645000,2273430
646000,2321742
647000,2258474
648000,2280229
649000,2255784
650000,2307185
651000,2286241
652000,2287491
653000,2271235
654000,2260614
655000,2326822
656000,2263822
657000,2309892
658000,2289364
659000,2282011
660000,2294990
661000,2277453
662000,2266661
663000,2308104
664000,2295191
665000,2286851
666000,2300867
667000,2280323
668000,2313530
669000,2460126
670000,2350206
671000,2323991
672000,2303023
673000,2296894
674000,2271796
675000,2689764
676000,2326124
677000,2286063
678000,2296033
679000,2314771
680000,2290971
681000,2687290
682000,2284616
683000,2288380
684000,2326869
685000,2737976
686000,2267067
687000,2706797
688000,2270707
689000,2526166
690000,2344781
691000,2652714
692000,2581115
693000,2578763
694000,2289423
695000,2312884
696000,2330271
697000,2312916
698000,2296724
699000,2347223
700000,2312328
701000,2286487
702000,2315570
703000,2327651
704000,2295088
705000,2299110
706000,2335756
707000,2293161
708000,2272517
709000,2351296
710000,2665487
711000,2307400
712000,2335062
713000,2346223
714000,2366082
715000,2355309
716000,2346728
717000,2721413
718000,2323122
719000,2301440
720000,2314309
721000,2332970
722000,2370926
723000,2300587
724000,2300572
725000,2334270
726000,2305465
727000,2305644
728000,2330057
729000,2346625
730000,2297474
731000,2315765
732000,2347560
733000,2367547
734000,2334601
735000,2304982
736000,2363713
737000,2313539
738000,2302943
739000,2378381
740000,2313717
741000,2321682
742000,2327063
743000,2341940
744000,2305220
745000,2335995
746000,2307172
747000,2344464
748000,2318471
749000,2336269
750000,2314556
751000,2365187
752000,2388298
753000,2325293
754000,2319553
755000,2339273
756000,2335554
757000,2377196
758000,2357761
759000,2310015
760000,2323265
761000,2321413
762000,2365650
763000,2381638
764000,2354152
765000,2310822
766000,2296121
767000,2352741
768000,2310158
769000,2303883
770000,2333503
771000,2386184
772000,2345142
773000,2346973
774000,2341937
775000,2324606
776000,2417681
777000,2356198
778000,2350320
779000,2333727
780000,2349765
781000,2315022
782000,2396851
783000,2891147
784000,2360326
785000,2362153
786000,2364533
787000,2354489
788000,2337232
789000,2314907
790000,2372758
791000,2344021
792000,2314038
793000,2417094
794000,2311879
795000,2353573
796000,2332297
797000,2392216
798000,2327506
799000,2343687
800000,2993360
801000,2405286
802000,2351606
803000,2392586
804000,2372177
805000,2389120
806000,2352203
807000,2339888
808000,2321444
809000,2344704
810000,2335160
811000,2345189
812000,2392259
813000,2443588
814000,2335562
815000,2344638
816000,2333191
817000,2322420
818000,2355132
819000,2383428
820000,2325291
821000,2363327
822000,2351709
823000,2353830
824000,2390396
825000,2372947
826000,2376031
827000,2344924
828000,2355267
829000,2348458
830000,2329652
831000,2409942
832000,2389618
833000,2380791
834000,2473063
835000,3133001
836000,3002939
837000,3069217
838000,3100474
839000,2960088
840000,3188319
841000,2333022
842000,2954923
843000,2452335
844000,2418876
845000,2352130
846000,3088597
847000,2357877
848000,2455082
849000,2399714
850000,2365242
851000,2354095
852000,2416639
853000,2419442
854000,2370216
855000,2407911
856000,2358878
857000,2373726
858000,2353985
859000,2349004
860000,2351471
861000,2342541
862000,2370196
863000,2384200
864000,2400899
865000,2403729
866000,2452515
867000,2348615
868000,2367225
869000,2366490
870000,2347164
871000,2337231
872000,2326913
873000,2378490
874000,2382786
875000,2404148
876000,2415580
877000,2400656
878000,2381911
879000,2384758
880000,2405633
881000,2377866
882000,2377499
883000,2358861
884000,2362871
885000,2625268
886000,2393749
887000,2372240
888000,2374777
889000,2412055
890000,2496561
891000,2407557
892000,2575769
893000,2390932
894000,2560917
895000,2374364
896000,2332367
897000,2371615
898000,2347862
899000,2428520
900000,2377187
901000,2423166
902000,2395524
903000,2668331
904000,2410264
905000,2413295
906000,2392067
907000,2411474
908000,2414112
909000,2410789
910000,2423523
911000,2416200
912000,2860679
913000,2404928
914000,2387667
915000,2345002
916000,2356521
917000,2395922
918000,2368681
919000,2353504
920000,2443180
921000,2376974
922000,2373431
923000,2686814
924000,2384875
925000,2365297
926000,2365035
927000,2358374
928000,2358686
929000,2449082
930000,2399200
931000,2408846
932000,2399817
933000,2414030
934000,2414946
935000,2392724
936000,2391568
937000,2411457
938000,2388875
939000,2412973
940000,2365908
941000,2458890
942000,2358225
943000,2368438
944000,2390504
945000,2409313
946000,2382503
947000,2381202
948000,2363450
949000,2365223
950000,2379366
951000,2434402
952000,2421778
953000,2433279
954000,2434514
955000,2443729
956000,2394434
957000,2419188
958000,2623678
959000,2397784
960000,2357244
961000,2408373
962000,2413858
963000,2640439
964000,2363697
965000,2383879
966000,2373334
967000,2430904
968000,2417546
969000,2414791
970000,2412117
971000,2409199
972000,2419474
973000,2436779
974000,2418079
975000,2434018
976000,2426171
977000,2672286
978000,2455223
979000,2417715
980000,2408111
981000,2726828
982000,2421214
983000,2370877
984000,2364806
985000,2383501
986000,2858827
987000,2386891
988000,2385360
989000,2847129
990000,2556362
991000,2406649
992000,2374938
993000,2382430
994000,2888694
995000,2468169
996000,2421393
997000,2406012
998000,2393531
999000,2495118
1000000,2494787
